adb	module.adb
advancedpaste	module.advancedpaste
ai	module.aiagents
aichat	module.aichat
amulet	module.amulet
announce	module.announcements
api	module.apiclient
archives	module.archives
audioeditor	module.audioeditor
tags	module.audiotagger
awake	module.awake
aws	module.aws
bitwarden	module.bitwarden
blender	module.blender
bulkops	module.bulkops
capture	module.capture
clipboard	module.clipboard
cloudflare	module.cloudflare
cmdnotfound	module.cmdnotfound
cmdpalette	module.cmdpalette
colorpicker	module.colorpicker
comms	module.comms
configbackup	module.configbackup
connections	module.connections
contextmenu	module.contextmenu
cropandlock	module.cropandlock
decompiler	module.decompiler
devices	module.devices
diagram	module.diagram
diff	module.diffmerge
disk	module.disk
diskbench	module.diskbench
diskhealth	module.diskhealth
docker	module.docker
dockerssh	module.dockerssh
doctors	module.doctors
drives	module.drives
duplicates	module.duplicates
emulator	module.emulator
envvars	module.envvars
events	module.events
everything	module.everything
fancyzones	module.fancyzones
fastboot	module.fastboot
filelocksmith	module.filelocksmith
filezilla	module.filezilla
flashcards	module.flashcards
fonts	module.fonts
giflab	module.giflab
git	module.git
glazewm	module.glazewm
hex	module.hexeditor
homeassistant	module.homeassistant
hosts	module.hosts
hotkeys	module.hotkeys
imageeditor	module.imageeditor
imaging	module.imaging
keepass	module.keepass
keyboard	module.keyboard
komorebi	module.komorebi
libreoffice	module.libreoffice
lightswitch	module.lightswitch
mail	module.mail
media	module.media
mediaplayer	module.mediaplayer
minecraftserver	module.minecraftserver
mixer	module.mixer
monitor	module.monitor
mouse	module.mouse
mouseutils	module.mouseutils
mwb	module.mwb
native	module.native
newplus	module.newplus
nmap	module.nmap
ollama	module.ollama
onedrive	module.onedrive
packages	module.packages
packer	module.packer
pdf	module.pdftoolkit
peek	module.peek
pgadmin	module.pgadmin
pixeleditor	module.pixeleditor
powertoys	module.powertoys
procexp	module.procexp
proxmox	module.proxmox
vault	module.qbittorrent
quickaccent	module.quickaccent
quicktype	module.quicktype
taskbar	module.rainmeter
reactor	module.reactor
recorder	module.recorder
regedit	module.regedit
rename	module.rename
resume	module.resume
richpreview	module.richpreview
rustdesk	module.rustdesk
screenruler	module.screenruler
services	module.services
settingshub	module.settingshub
shellmenu	module.shellmenu
shortcutguide	module.shortcutguide
sqlite	module.sqlitebrowser
startup	module.startup
tasks	module.tasks
terminal	module.terminal
testdisk	module.testdisk
ocr	module.textocr
timelens	module.timelens
time	module.timeunit
torrent	module.torrent
uninstall	module.uninstall
virtualbox	module.virtualbox
vivetool	module.vivetool
voice	module.voice
vpn	module.vpn
vscode	module.vscode
webcloner	module.webcloner
weblogin	module.weblogin
windhawk	module.windhawk
windows	module.windows
winfetch	module.winfetch
wireshark	module.wireshark
workspaces	module.workspaces
worldmonitor	module.worldmonitor
wsl	module.wslvm
ytdlp	module.ytdlp
zoomit	module.zoomit
